location,summer_dhd50_max,predicted_change,lower_bound,upper_bound
Jurien,69.42446425,-2.832301366,-7.137514114,0.194084415
Jurien,69.63939765,-2.862611859,-7.17201234,0.157103585
Jurien,69.85433106,-2.892922353,-7.206510566,0.126198341
Jurien,70.06926446,-2.923232847,-7.241008792,0.103395212
Jurien,70.28419787,-2.95354334,-7.275507018,0.080592083
Jurien,70.49913127,-2.983853834,-7.310005244,0.047233334
Jurien,70.71406468,-3.014164328,-7.34450347,0.012781011
Jurien,70.92899808,-3.044474821,-7.388425831,-0.021746083
Jurien,71.14393149,-3.074785315,-7.440606686,-0.056612079
Jurien,71.35886489,-3.105095809,-7.492787541,-0.086381237
Jurien,71.5737983,-3.135406302,-7.544968396,-0.10703402
Jurien,71.7887317,-3.165716796,-7.596133076,-0.131387375
Jurien,72.00366511,-3.196027289,-7.637112564,-0.153581522
Jurien,72.21859851,-3.226337783,-7.678092052,-0.175775669
Jurien,72.43353192,-3.256648277,-7.7187766,-0.197969816
Jurien,72.64846532,-3.28695877,-7.759460207,-0.220459921
Jurien,72.86339873,-3.317269264,-7.803176289,-0.243032952
Jurien,73.07833213,-3.347579758,-7.8564481,-0.265605984
Jurien,73.29326554,-3.377890251,-7.905478344,-0.288179016
Jurien,73.50819894,-3.408200745,-7.946442594,-0.310752048
Jurien,73.72313235,-3.438511238,-7.987406845,-0.33332508
Jurien,73.93806575,-3.468821732,-8.028371095,-0.360721231
Jurien,74.15299916,-3.499132226,-8.079728063,-0.389493444
Jurien,74.36793256,-3.529442719,-8.137743435,-0.418265657
Jurien,74.58286597,-3.559753213,-8.195758807,-0.44703787
Jurien,74.79779937,-3.590063707,-8.253774179,-0.475810083
Jurien,75.01273278,-3.6203742,-8.311789551,-0.504582296
Jurien,75.22766618,-3.650684694,-8.369804923,-0.533354509
Jurien,75.44259959,-3.680995188,-8.427820296,-0.553361791
Jurien,75.65753299,-3.711305681,-8.485835668,-0.570549283
Jurien,75.8724664,-3.741616175,-8.54385104,-0.587736776
Jurien,76.0873998,-3.771926668,-8.601866412,-0.604924268
Jurien,76.30233321,-3.802237162,-8.659881784,-0.62211176
Jurien,76.51726661,-3.832547656,-8.713872845,-0.637782875
Jurien,76.73220002,-3.862858149,-8.765529424,-0.652285459
Jurien,76.94713342,-3.893168643,-8.808415895,-0.669439937
Jurien,77.16206683,-3.923479137,-8.853599876,-0.690589192
Jurien,77.37700023,-3.95378963,-8.906968984,-0.707573932
Jurien,77.59193364,-3.984100124,-8.953100791,-0.724558673
Jurien,77.80686704,-4.014410617,-8.999103536,-0.741543414
Jurien,78.02180045,-4.044721111,-9.044904256,-0.758528155
Jurien,78.23673385,-4.075031605,-9.090704976,-0.775512896
Jurien,78.45166725,-4.105342098,-9.136505696,-0.792684869
